year,y_test,y_pred
1965,-0.68,-1.13542
1965,-0.33,-0.8754
1966,0.114,-0.60748
1966,-1.19,-0.487935
1967,-1.213,-0.49476
1967,0.01,-0.57794
1967,-0.79,-0.35637
1968,-0.131,-0.328855
1968,0.35,-0.071415
1968,-0.15,0.113125
1969,-0.21,-0.53306
1969,-0.4,-0.50999
1969,-0.89,-0.75558
1970,-1.51,-0.7615299999999999
1970,-1.7,-0.41506
1970,-1.36,-0.83449
1971,-0.343,-0.548355
1971,-0.41,-0.45644999999999997
1971,0.44,0.26476
1972,-0.344,-0.464215
1972,-0.25,0.208125
1972,1.27,0.44131
1973,0.43,-0.3619
1973,-1.2,-0.540145
1974,0.24,0.042985
1974,0.86,0.54377
1975,-0.238,-0.6286799999999999
1975,-0.21,0.608005
1976,0.877,-0.16496
1976,0.64,-0.105515
1976,0.79,0.36519999999999997
1977,-1.227,-0.7341
1977,-0.21,-0.59315
1977,-1.46,-1.000505
1978,-0.433,-0.9195599999999999
1978,-1.05,-0.324
1978,-0.54,-0.095055
1979,-2.212,-1.570245
1979,-0.81,-1.14634
1979,-1.72,-1.188975
1980,-0.923,-0.64898
1980,-0.58,-0.70504
1980,-1.18,-0.80626
1981,-1.093,-0.8208799999999999
1981,-1.13,-0.47795
1981,-1.0,-0.8977849999999999
1982,-0.754,-1.58146
1982,-0.56,-0.6521849999999999
1982,-0.08,0.17995
1983,-0.441,-1.01499
1983,-0.39,-0.91028
1983,-0.93,0.04112
1984,-0.337,-0.712985
1984,-0.58,-0.572155
1984,-0.04,-0.170785
1985,-1.882,-0.86002
1985,-0.81,-0.645925
1985,-1.36,-1.173675
1986,-1.312,-0.671335
1986,-0.47,-0.30262
1986,-0.2,-0.312165
1986,-0.22,-1.027885
1986,0.2,-0.5844550000000001
1986,-0.07,-0.62405
1986,-0.45,-0.954545
1986,-0.36,-0.7193999999999999
1986,-0.92,-1.210095
1987,-0.845,-1.35555
1987,-0.62,-1.049205
1987,-0.47,-1.3722
1987,-0.63,-1.4762449999999998
1987,-0.56,-1.624985
1987,-0.26,-1.48735
1987,-0.3,-1.8695050000000002
1987,-1.39,-1.6315250000000001
1987,-0.87,-1.9247
1987,-2.22,-1.5412249999999998
1988,-0.969,-1.052735
1988,-0.99,-0.69916
1988,0.14,-0.048465
1988,-0.06,-0.5912200000000001
1988,0.43,-0.03787
1988,0.17,-0.265265
1988,-0.24,-0.487245
1988,-0.15,-0.29788
1988,-1.28,-0.825845
1989,-1.04,-1.63394
1989,-0.59,-0.8188350000000001
1989,-0.09,-0.0074800000000000005
1989,-0.29,-0.706885
1989,-0.24,-0.028725
1989,0.03,-0.14148500000000003
1989,-0.67,-0.4048
1989,-0.37,-0.16425
1989,-1.34,-0.694505
1990,-0.74,-0.57133
1990,-0.06,-0.9600700000000001
1990,-0.51,-0.849375
1990,-0.46,-1.025385
1990,-0.12,-0.959625
1990,-0.92,-1.07902
1990,-0.68,-0.8043250000000001
1990,-0.4,-0.940825
1991,-0.99,-0.71293
1991,-0.44,0.08343
1992,-0.79,-1.59275
1992,-2.43,-1.56369
1993,-2.28,-1.579355
1993,-1.215,-0.5851799999999999
1993,-1.1,-0.808035
1994,-2.01,-1.495685
1994,-1.295,-1.05198
1994,-1.83,-1.6850399999999999
1995,-2.486,-1.44879
1995,-0.3,-0.7026100000000001
1995,-1.12,-0.21434999999999998
1999,1.75,0.60465
1999,1.45,0.42210000000000003
1999,2.15,0.31966500000000003
1999,1.52,0.42345
1999,1.2,0.496465
2000,-0.18,0.45951
2000,-0.25,0.17554499999999998
2000,0.15,0.565255
2000,0.43,-0.10353
2000,-0.1,0.20529499999999998
2002,-0.5,-0.5925549999999999
2002,0.26,0.024585
2002,0.6,0.478765
2002,0.13,0.06538
2002,0.12,0.22023500000000001
2002,-0.13,0.07157
2002,0.05,-0.142565
2002,-0.18,0.09805
2002,0.38,0.005875
2002,0.18,0.09729
2003,-1.37,-0.8700549999999999
2003,-1.85,-1.16802
2003,-1.17,-1.248515
2003,-1.25,-0.95704
2003,-0.98,-1.535655
2003,-1.2,-1.04319
2003,-1.4,-1.174715
2003,-1.52,-0.98818
2003,-2.42,-1.2914349999999999
2003,-0.98,-1.67625
2004,-2.21,-1.859595
2004,-0.55,-0.73273
2004,-1.73,-1.34319
2005,-1.295,-1.62538
2005,-0.81,-0.76977
2005,-2.52,-1.133135
2005,-1.11,-0.58096
2006,-0.93,-0.902775
2006,-0.98,-0.507555
2006,-1.06,-0.739465
2006,-0.61,-0.63009
2006,-1.05,-0.86758
2006,-1.35,-0.924995
2006,1.25,-0.81045
2006,-1.29,-0.954345
2006,-0.48,-0.64115
2006,-0.79,-0.6732100000000001
2006,-0.71,-0.6793899999999999
2007,-0.13,0.048745
2007,-0.37,0.30548000000000003
2007,-0.4,-0.17284
2007,0.2,0.28057
2007,0.07,-0.21184999999999998
2007,-0.62,-0.40532999999999997
2007,0.12,-0.203535
2007,-0.07,-0.19866999999999999
2007,-1.36,-0.857855
2007,0.26,0.186755
2007,-0.21,0.18855000000000002
2008,0.48,0.04924
2008,0.94,0.18758000000000002
2008,0.12,-0.33050999999999997
2008,0.65,0.101615
2008,0.51,-0.032409999999999994
2008,-0.1,-0.15888
2008,0.41,0.002585
2008,0.1,-0.111205
2008,1.22,-0.491325
2008,0.45,0.04927
2008,0.2,-0.074105
2009,-1.62,-1.06748
2009,-0.9,-0.791115
2009,-2.15,-0.75425
2009,-1.98,-0.7902
2009,-1.82,-0.92686
2009,-1.56,-0.88298
2009,-1.35,-0.8138350000000001
2009,-1.73,-1.61032
2009,-1.44,0.035840000000000004
2009,-2.06,-0.99906
2009,-2.68,-0.91469
2010,0.17,0.00123
2010,-0.21,0.157535
2010,-0.44,0.221945
2010,0.76,0.19440000000000002
2010,-0.34,-0.09759000000000001
2010,-0.38,-0.250985
2010,-0.26,-0.07651999999999999
2010,-0.33,-0.11574
2010,-0.01,-0.79575
2010,0.68,-0.248185
2010,0.94,0.16831000000000002
2011,1.22,0.17760499999999999
2011,1.47,0.708415
2011,0.94,0.373205
2011,2.2,0.53185
2011,0.98,0.46309
2011,1.34,0.27125
2011,1.06,0.45661
2011,1.33,0.35091
2011,1.48,-0.035285
2011,1.15,0.38317
2011,1.45,0.47754
2012,-0.12,-0.192555
2012,0.38,0.5421950000000001
2012,-0.38,-0.811
2012,0.42,-0.07349
2012,0.51,-0.042695
2012,0.15,-0.093675
2012,0.75,-0.008255
2012,0.01,-0.044585
2012,0.79,-0.48213
2012,-0.16,-0.184415
2012,0.34,-0.14849500000000002
2013,-1.15,-0.74125
2013,-0.78,-0.705315
2013,-0.85,-0.92368
2013,-1.85,-0.86938
2013,-0.4,-0.883035
2013,-0.7,-0.97623
2013,-0.15,-0.7533350000000001
2013,-0.76,-0.188055
2013,-0.74,-0.5036
2013,-1.58,-0.947195
2013,-1.7,-0.9939450000000001
2014,-1.65,-0.639365
2014,-0.5,-0.699115
2014,-1.35,-0.877525
2014,-1.94,-0.82841
2014,-0.85,-0.822155
2014,-0.32,-0.8782300000000001
2014,-0.55,-0.75759
2014,-0.28,-0.87886
2014,-0.11,-0.48513
2014,-1.3,-0.881355
2014,-1.53,-1.00177
2015,-1.2,-0.60977
2015,-3.36,-1.018585
2015,-3.48,-0.7580950000000001
2015,-3.4,-1.261245
2015,-3.45,-1.037565
2015,-2.85,-0.9490449999999999
2015,-3.25,-1.109225
2015,-3.08,-0.97597
2015,-3.52,-1.019705
2015,-1.56,-0.680225
2015,-2.78,-1.2003599999999999
2015,-1.049,-0.5592999999999999
2015,-3.05,-1.136425
2015,-0.437,-0.50943
2015,-1.181,-0.583625
2015,-1.405,-0.679855
2016,0.208,-0.76105
2016,-0.96,-0.209415
2016,-1.18,-0.13879
2016,-1.55,-1.057755
2016,-0.88,-1.3783800000000002
2016,-1.42,-1.31446
2016,-0.78,-1.377495
2016,-0.64,-1.2662550000000001
2016,-0.9,-0.37265
2016,0.38,-1.599525
2016,-0.82,-1.4713450000000001
2016,-0.882,-0.888695
2016,-1.52,-1.63136
2016,-0.314,-0.90115
2016,-0.016,-0.86203
2016,-0.2,-0.890625
2017,-0.029,-0.9744700000000001
2017,-0.64,-1.0214450000000002
2017,-0.75,-0.96362
2017,-0.65,-1.059205
2017,0.51,-1.1035
2017,-0.32,-1.28308
2017,-0.57,-1.29593
2017,-0.54,-1.1365
2017,-0.71,-1.06487
2017,-0.32,-0.49275
2017,-0.26,-1.22878
2017,-0.988,-0.91514
2017,0.12,-1.218275
2017,-0.238,-0.6191599999999999
2017,-0.617,-1.4281949999999999
2017,-0.95,-0.64402
2018,-0.306,-0.771355
2018,-0.48,-0.898455
2018,-0.63,-0.768575
2018,-0.82,-1.36448
2018,-0.53,-1.111635
2018,-0.64,-0.99654
2018,-0.75,-1.0424449999999998
2018,-0.68,-0.83973
2018,-0.75,-0.976185
2018,0.15,-0.6874049999999999
2018,-0.5,-1.1508399999999999
2018,-1.046,-0.7265900000000001
2018,-0.82,-1.239025
2018,-0.76,-0.28673000000000004
2018,-0.49,-0.86326
2018,-0.6,-0.70404
2019,-1.006,-0.18200999999999998
2019,-1.76,-1.3388550000000001
2019,-1.87,-1.12282
2019,-1.44,-1.369005
2019,-1.18,-1.1679000000000002
2019,-1.7,-1.36298
2019,-2.05,-1.36403
2019,-1.65,-1.29468
2019,-2.07,-0.72109
2019,-1.37,-1.0638299999999998
2019,-1.7,-1.262805
2019,-0.71,-0.7428049999999999
2019,-1.97,-1.51366
2020,-0.091,-0.828745
2020,-0.892,-1.08279
2020,-0.81,-1.3408699999999998
2020,-0.441,-1.191105
2020,-0.58,-1.6192149999999998
2020,-0.62,-1.6002750000000001
2020,-0.38,-1.538565
2020,-0.16,-0.764595
2020,-0.35,-0.847875
2020,-0.633,-1.3107550000000001
2020,-1.96,-1.429845
2021,-1.922,-0.5115350000000001
2021,-2.379,-1.868855
2021,-1.925,-0.67159
2021,-0.866,-0.627225
2021,-1.48,-1.02856
2021,-0.945,-0.64906
2021,-2.26,-0.541145
2021,-1.45,-0.44319
2021,-2.15,-0.441905
2021,-1.32,-0.6934450000000001
2021,-2.19,-0.08268
2021,-1.562,-0.686245
2021,-1.72,-0.7993049999999999
2022,-0.08,-0.7843450000000001
2022,-0.87,-1.891585
2022,-0.848,-1.32454
2022,-0.861,-1.425595
2022,-0.73,-1.5652750000000002
2022,-0.751,-1.48218
2022,-1.36,-1.8981649999999999
2022,-1.26,-1.761375
2022,-1.18,-1.8876400000000002
2022,-1.35,-1.337085
2022,-0.97,-1.606175
2022,-1.216,-1.554385
2022,-1.81,-1.789635
2023,-3.721,-1.477995
2023,-2.76,-0.499375
2023,-2.648,-1.39639
2023,-2.36,-2.1270149999999997
2023,-1.531,-1.59662
2023,-2.72,-1.4107750000000001
2023,-3.45,-1.0910499999999999
2023,-3.25,-1.303835
2023,-2.62,-1.26405
2023,-3.44,-1.1737
2023,-1.702,-1.6594149999999999
2023,-2.35,-1.722335
2024,-2.01,-1.867635
2024,-1.43,-0.9272400000000001
2024,-2.34,-1.43773
2024,-1.82,-1.8203
2024,-1.28,-1.27807
2024,-2.35,-1.318075
2024,-2.4,-1.27684
2024,-2.7,-1.3349600000000001
2024,-1.5,-1.4822149999999998
2024,-1.27,-1.36043
2024,-1.64,-1.415125
2024,-1.95,-1.60593
